"Organization_Name","Country","City","State","ZipCode","Contact","Number_of_teacher","Number_of_student"
"UTC South Durham","United Kingdom",,"County Durham","DL56AP",,1,1
"East Bank Middle School Band","United States",,"WV","25067",,1,29
"Flagstaff fccla","United States",,"ariana ","86001",,1,1
"Covenant Christian Academy","United States",,"Texas",,,1,
"St. Mary's College","Saint Lucia",,"Castries","001",,1,
"north Seattle college ","United States",,"wa","seattle,wa98087 ",,1,1
"University of Maryland Eastern Shore","United States",,"Maryland",,,1,3
"Flintridge Preparatory School","United States",,"california","91011",,1,
"Accra Education School ","Ghana",,"Greater Accra Region",,,1,1
"Portland State University ","United States",,"Oregon ",,,1,
"Insight Global Education","Canada",,"Vancouver BC",,,1,
"Internship 1","United States",,"Washington","98205",,1,3
"PACKER COLLEGIATE INSTITUTE","","BROOKLYN","NY","11201","",8,51
"THE GUNSTON SCHOOL","","CENTREVILLE","MD","21617","",3,13
"INTER-CITY BAPTIST SCHOOL","","ALLEN PARK","MI","48101","",3,4
"ALBERT EINSTEIN ACADEMY","","WILMINGTON","DE","19803","",9,6
"KIMBERLIN ACAD FOR EXCEL","United States Of America","GARLAND","TX","75040","(972)926-2560",1,
"MICKEY LELAND COLLEGE PREP ACAD FOR YOUNG MEN","United States Of America","HOUSTON","TX","77020","(713)226-2668",1,
"Peninsula School","United States Of America","Prospect Harbor","ME","4669","(207)963-2003",1,
"Arcadia High School","United States Of America","Arcadia","LA","71001","(318)263-2264",1,
"Pineville High School","United States Of America","Pineville","LA","71360","(318)442-8990",1,
"Charles J. Colgan Sr. High","United States Of America","Manassas","VA","20112","(571)374-6550",1,
"Athens Drive High","United States Of America","Raleigh","NC","27606","(919)233-4050",1,
"London Elementary","United States Of America","Walnut Cove","NC","27052","(336)591-7204",1,
"Oxford Preparatory","United States Of America","Oxford","NC","27565","(919)690-0360",1,
"Anne Sullivan Elementary - 20","United States Of America","Sioux Falls","SD","57103","(605)367-6084",2,
"Putney Student Travel","USA","","VT","05346","",3,
"Kingston Grammar School","UK","","N/A","KT2 6PY","",1,
"Indian Valley Middle School","USA","","PA","19438","",3,
"Stevens Cooperative School","USA","","NJ","07310","",1,
"Maurits Academy","United States",,"NY",,,1,
"The Austral Group","Chile",,"Santiago",,,3,8
"The Hutong","China",,"Beijing ",,,2,
"Students Love Travel","United States",,"New Hampshire","03802",,4,1
"ggschool","United States",,"ny",,,2,
"Test School","United States",,"NC",,,18,19
"Providence Day School","United States",,"North Carolina","28270",,17,71
"Portfolio School","United States",,"new york","10013",,2,
"Olympus College","Netherlands",,"gld",,,2,
"Glacier Peak High School","United States",,"Washington","98296",,2,
"Florida Youth Orchestra","United States",,"Fl","33021",,13,79
"North Penn High School","United States",,"Pennsylvania","19446",,2,
"Study Abroad Association","United States",,"NC","27616",,3,
"Shelton School & Evaluation Center","United States",,"Texas","75252",,2,1
"Patriot Oaks Academy ","United States",,"FL","32259",,2,
"Wrekin College","United Kingdom",,"Shropshire",,,11,83
"Babcock Neighborhood School","United States",,"Florida","33882",,2,
"Gulf Breeze High","United States",,"florida ","32561",,3,17
"Beardsley Elementary ","United States",,"CA",,,2,
"Altedena Middle School","United States",,"Arizona","85048",,5,7
"21ST CENTURY EARLY LEARNING FOUNDATIONS ACADEMY","United States Of America","WESLACO","TX","78596","(956)969-6500",1,
"Jeffers High School","","Painesdale","MI","49955","(906)482-0580",1,
"Project SEARCH","","MASON","MI","48854","(517)244-1263",1,1
"OXF/LAF SCHOOL OF APPLIED TECH","","Oxford","MS","38655","(662)234-9469",1,
"SOUTH JONES HIGH SCHOOL","","Ellisville","MS","39437","(601)477-8451",1,
"BREWSTER ACADEMY","","WOLFEBORO","NH","3894","6035691600",1,
"PHILLIPS EXETER ACADEMY","","EXETER","NH","3833","6037773401",3,
"COOL SPRINGS MONTESSORI","","FRANKLIN","TN","37067","",1,
"HULL PROTESTANT REFORMED CHRISTIAN SCHOOL","","HULL","IA","51239","",1,1
"MIAMI COUNTRY DAY SCHOOL","","MIAMI","FL","33161","",1,
"'HMAN'SHAWA DAY SCHOOL","","FOUNTAIN HILLS","AZ","85269","",1,
"ABC CHILDCARE CENTER","","TEMECULA","CA","92591","",1,1
"ABC LITTLE SCHOOLS - WEST HOLLYWOOD","","WEST HOLLYWOOD","CA","90046","",1,1
"ALTADENA BOYS & GIRLS ACADEMY","","ALTADENA","CA","91001","",2,5
"CHRISTIAN BROTHERS HIGH SCHOOL","","SACRAMENTO","CA","95820","",1,4
"ALPHARETTA CHRISTIAN ACADEMY","","ALPHARETTA","GA","30009","",1,
"ALL SAINTS","","WICKLIFFE","OH","44092","",2,
"ASHERY","","FREDERICKSBURG","OH","44627","",1,
"MOUNT NOTRE DAME HIGH SCHOOL","","CINCINNATI","OH","45215","",1,
"UNIVERSITY ACADEMY","","ALEXANDRIA","LA","71302","",1,
"THE BALDWIN SCHOOL","","BRYN MAWR","PA","19010","",1,
"GREAT LAKES ADVENTIST ACADEMY","","CEDAR LAKE","MI","48812","",6,29
"ADVENTURE PRESCHOOL & KARDIA CHRISTIAN ACAD","","HOUSTON","TX","77070","",1,
"BETHEL CHRISTIAN ACADEMY","","PITTSBURG","TX","75686","",1,
"FIRST PROTESTANT CHURCH SCHOOL","","NEW BRAUNFELS","TX","78130","",1,
"HARVARD EL","United States Of America","HOUSTON","TX","77007","(713)867-5210",1,
"Marcin For Test Org ","United States",,"ppp","bbbhh",,1,4
"Marcin For Test Sch","United States",,"nnn","mnm",,2,1
